caseno_2011,prev_address_2011,age_2011,distance_to_work_2011,no_of_cars_2011,country_birth_2011,deprived_edu_2011,deprived_employ_2011,deprived_health_2011,deprived_housing_2011,deprived_2011,health_activity_limited_2011,child_2011,ethnicity_2011,general_health_2011,edu_2011,illness_in_house_2011,occupation_2011,prev_region_2011,social_grade_2011,sex_2011,tenure_2011,travel_mode_to_work_2011,travel_mode_to_work_2001,place_of_work_2011,live_near_work_2011,workplace_2011
2830370,1,8,3,3,9,0,0,0,0,1,3,4,3,1,14,0,34,,1,2,1,7,7,1,3,3
2830408,1,9,4,2,1,0,0,0,0,1,3,4,1,1,15,0,22,,2,2,1,7,7,1,4,4
2830399,1,6,1,2,1,0,0,0,0,1,3,3,1,1,12,0,51,,1,2,1,8,8,1,3,3
2830414,3,7,8,2,1,0,0,0,1,2,3,2,1,1,15,0,24,9,1,2,5,7,1,2,1,2
2830433,1,19,,2,2,1,0,1,0,3,1,,1,2,10,1,,,,2,0,,,,,
2830435,1,15,,4,1,0,0,0,0,1,3,1,1,2,16,0,33,,,2,1,,,,,
2830488,1,15,,2,1,1,0,0,0,2,3,1,1,2,16,0,13,,,2,5,,,,,
2830506,1,14,8,3,1,0,1,1,0,3,2,1,1,3,14,1,96,,,1,0,1,1,2,1,2
2830516,1,15,,2,1,0,0,0,0,1,3,1,1,2,11,0,42,,,2,0,,,,,
2830518,1,12,8,3,1,0,0,0,0,1,3,1,1,1,15,0,14,,1,1,1,1,1,2,1,2
2830536,1,18,,1,1,1,0,1,0,3,2,1,1,3,16,1,,,,2,0,,,,,
2830571,1,7,7,2,1,0,0,0,0,1,3,1,5,2,15,0,72,,2,1,0,7,7,1,4,4
2830570,1,11,5,2,1,0,0,0,0,1,3,1,1,1,15,0,23,,1,1,1,7,7,1,4,4
2830595,1,1,,2,1,1,0,0,0,2,3,2,1,2,,0,,,,2,0,,,,,
2830588,1,7,8,3,1,0,0,0,0,1,3,,1,2,12,0,72,,2,1,0,1,1,2,1,2
2830617,1,12,4,2,1,0,1,1,0,3,3,1,3,1,15,1,13,,1,2,1,7,7,1,4,4
2830652,1,11,7,3,1,0,0,0,0,1,3,5,1,1,14,0,54,,2,1,1,3,3,1,4,4
2830655,1,5,1,4,1,0,0,0,0,1,3,1,1,1,11,0,44,,1,1,1,7,7,1,3,3
2830685,1,4,4,3,1,0,0,0,0,1,3,5,1,1,14,0,42,,3,1,1,7,7,1,3,3
2830676,1,15,,2,1,0,0,0,0,1,3,1,1,2,15,0,21,,,1,0,,,,,
2830713,1,12,8,1,1,1,0,0,0,2,3,,1,1,10,0,33,,2,2,0,1,1,2,1,2
2830740,1,2,,1,1,0,0,0,0,1,3,2,1,1,,0,,,,2,1,,,,,
